@relation trainingSet

@attribute genre {Reggae, Classical, Dubstep}
@attribute bit_0 numeric
@attribute bit_1 numeric
@attribute bit_2 numeric
@attribute bit_3 numeric
@attribute bit_4 numeric
@attribute bit_5 numeric
@attribute bit_6 numeric
@attribute bit_7 numeric
@attribute bit_8 numeric
@attribute bit_9 numeric
@attribute bit_10 numeric
@attribute bit_11 numeric


@data
Classical, -0.320984652861,0.334341865034,-0.237210747536,0.132344414072,0.2560690777,0.679015347139,0.142348430655,-0.0142778733947,-0.121513642217,-0.291920395208,-0.31196766896,-0.246244154423
Classical, -0.218720031287,-0.0386066784871,-0.0267908362585,0.326663287459,0.781279968713,0.18603031415,-0.019712953005,-0.173554560604,-0.201807718431,-0.21065816511,-0.214109027063,-0.190013600077
Classical, -0.242414433779,-0.0700369051791,-0.00735237617541,0.144249668555,0.100278879152,0.757585566221,0.21787884663,-0.0974141969375,-0.175144534853,-0.217811824563,-0.2306572062,-0.17916148287
Classical, -0.156808192238,-0.139518610367,-0.109229902297,0.843191807762,0.3429822231,0.00859777625675,-0.0895816857401,-0.123572678036,-0.138089669202,-0.149416783436,-0.153165664426,-0.135388621376
Classical, -0.342014351248,-0.070136736309,-0.0957455123252,0.44857876999,0.657985648752,0.52153352499,0.2848967442,-0.191888227617,-0.26173074293,-0.330964347502,-0.340473809848,-0.280040960153
Dubstep, -0.204000349277,-0.0910530958583,-0.000642221312433,0.795999650723,0.0825640471924,-0.0636050917366,0.0104111122905,0.0277695707539,-0.0629166579995,-0.153158630371,-0.194208442036,-0.14715989237
Dubstep, -0.269798836473,0.22452209073,0.336126405542,0.730201163527,0.545951326232,-0.108688000711,-0.2073344523,-0.227733087129,-0.238133161118,-0.265188578895,-0.268718327824,-0.251206541581
Dubstep, -0.269112655543,0.406279578515,0.29349459075,0.311411309389,0.730887344457,-0.14468020632,-0.173520985563,-0.183709899082,-0.217171197785,-0.247835407132,-0.261831132822,-0.244211338863
Dubstep, -0.22038083342,-0.211169180851,-0.209514510879,-0.202105209036,-0.173180858615,-0.0629476024319,0.77961916658,0.340019373759,0.219656873177,-0.0360818451946,-0.206229422113,-0.0176859509746
Dubstep, -0.26178898394,-0.119251736301,0.73821101606,0.332527471121,0.0806435846178,0.126751062132,0.0521331251705,-0.0311492245834,-0.183639286335,-0.234878440023,-0.260238931802,-0.239319656118
Reggae, -0.201400212696,-0.119633566085,-0.0299243636544,0.798599787304,0.452722320363,0.0115365335488,-0.0742211505086,-0.148507500352,-0.139881881444,-0.170030964353,-0.198013082635,-0.181245919487
Reggae, -0.308269332527,-0.140750830366,0.00871774337168,0.571959000915,0.691730667473,0.000727227123338,-0.120173671827,-0.126657123409,-0.0409388591892,-0.0158574867208,-0.302675631185,-0.217811703658
Reggae, -0.426477405514,0.120238749411,0.573522594486,0.554708907553,0.514925274206,0.0996395330941,-0.117307982051,0.127642042612,-0.265595008133,-0.385063441237,-0.422065564281,-0.374167700148
Reggae, -0.284197329276,0.225824468624,0.503051064516,0.715802670724,0.128872054881,-0.110420435567,-0.063282092917,-0.0948010993435,-0.221995290888,-0.261495064208,-0.28205110717,-0.255307839376
Reggae, -0.201687930781,-0.133041679182,-0.127470789502,0.655239737384,0.798312069219,0.116635011958,-0.14447273335,-0.177335974953,-0.193814936076,-0.199332862061,-0.200537489074,-0.192492423582

